Date,Open,High,Low,Close,Volume,Currency,Change%
2021-05-16,46729.3,49447.7,46574.6,48925.8,125923,USD,4.531351556847307
2021-05-16,46729.3,49447.7,46574.6,48926.9,125924,USD,0.0022482519840794015
2021-05-16,46729.3,49447.7,46574.6,49085.5,125100,USD,0.3231096759735534
2021-05-16,46729.3,49764.3,46574.6,48724.7,117999,USD,-0.7404868577949232
2021-05-16,46729.3,49764.3,46574.6,47322.1,116136,USD,-2.963942851225957
2021-05-17,46424.2,46545.4,44655.9,45144.6,179132,USD,-4.823389729890176
2021-05-17,46424.2,46545.4,42207.6,44916.6,236082,USD,-0.5076074324414582
2021-05-17,46424.2,46545.4,42207.6,45164.9,255616,USD,0.5497632010698638
2021-05-17,46424.2,46545.4,42207.6,44919.5,275089,USD,-0.5463106223355145
2021-05-17,46424.2,46545.4,42201.5,42721.0,296694,USD,-5.14618103508813
2021-05-18,43538.5,45345.2,43186.8,45311.8,228845,USD,5.717715915059659
2021-05-18,43538.5,45770.9,43186.8,45284.4,198560,USD,-0.06050648788545604
2021-05-19,42898.3,43516.6,38650.9,39066.0,254790,USD,-15.917677776071267
2021-05-19,42898.3,43516.6,36266.6,37851.3,337495,USD,-3.209136806397659
2021-05-19,42898.3,43516.6,30261.7,36516.8,460721,USD,-3.6544823204661956
2021-05-19,42898.3,43516.6,30261.7,40272.1,522255,USD,9.32481792605798
2021-05-20,36706.8,38573.3,35010.4,38364.6,211746,USD,-4.972031508213301
2021-05-20,36706.8,39876.3,35010.4,39299.2,556643,USD,2.378165458838853
2021-05-20,36706.8,40750.6,35010.4,40018.2,524161,USD,1.7966825094581966
2021-05-20,36706.8,42425.9,35010.4,41639.8,396247,USD,3.894351077574834
2021-05-21,40611.2,42108.3,40552.1,40682.8,254460,USD,-2.3523454629474863
2021-05-21,40611.2,42108.3,36675.0,37734.0,250637,USD,-7.814702920443109
2021-05-22,37291.0,38056.8,35314.9,36694.5,316558,USD,-2.8328496096145197
2021-05-24,34720.3,36867.0,34474.6,36655.7,320493,USD,-0.10584984054322495
2021-05-24,34720.3,38660.3,34474.6,38286.3,296791,USD,4.258964694943114
2021-06-10,37375.2,38340.8,36282.3,38136.7,194250,USD,-0.39227305980854615
2021-06-10,37375.2,38340.8,36282.3,37684.2,169837,USD,-1.2007684918347743
2021-06-11,36654.3,37177.3,36003.3,36837.8,145116,USD,-2.29763992420827
2021-06-11,36654.3,37362.1,36003.3,37215.9,148605,USD,1.0159636069529383
2021-06-11,36654.3,37417.7,36003.3,37202.5,144459,USD,-0.03601908473893275
2021-06-12,37334.4,37437.3,36323.2,36336.9,104985,USD,-2.382151476873367
2021-06-12,37334.4,37437.3,34703.3,35975.7,131918,USD,-1.004011040785876
2021-06-12,37334.4,37437.3,34703.3,35479.0,129019,USD,-1.399983088587607
2021-06-13,35467.5,36121.1,34827.0,35874.1,74836,USD,1.1013516715401879
2021-06-14,39024.1,39784.6,38799.4,38840.3,128886,USD,7.636913206128697
2021-06-14,39024.1,39784.6,38769.9,39183.8,140127,USD,0.8766377941904562
2021-06-15,40522.5,40838.1,39920.0,40288.6,137735,USD,2.7422149193568295
2021-09-12,45162.6,46196.5,44755.2,45927.5,38455,USD,12.277829187306082
